,user_id,transaction_id,purchase_time,purchase_type,purchase_amount_dollars
24100,user_bcd566b2-d944-4478-9617-6a839bf6d0b1,ch_85fb191e-2544-4262-a39b-078f12ac702a,1067-09-03 08:21:32+00:00,Subscription Create,29.0
24121,user_aed374a6-def6-40ed-ac2b-520df6bf976b,ch_ae62cc84-f625-44c0-8567-cd43e275d110,1067-09-18 03:49:29+00:00,Subscription Create,35.0
24138,user_858d8a57-50ab-49f3-b3d3-6ada395f6c68,ch_ea92bb99-4bb7-4cb2-a70f-e2661a977f7b,1067-08-29 22:48:01+00:00,Subscription Create,35.0
24206,user_a70fe5e6-5510-4747-91c3-0bbf4dbec0ba,ch_eaa7de3f-67c1-4089-87a5-f626bfc39a4b,1067-09-14 22:56:42+00:00,Subscription Create,89.0
24208,user_faa34131-a413-4c0f-ae4e-51add7d9d54b,ch_aae6e893-71f4-4a82-ae6c-5e8efdd05ea5,1067-09-24 09:27:42+00:00,Subscription Create,89.0
24248,user_4231a0e4-61f7-4b94-a00b-65a3220da8b0,ch_7d87a567-b59e-4887-bf02-e8f4adf11ce6,1067-10-21 09:48:58+00:00,Subscription Create,29.0
24252,user_e712d738-4c55-4bc2-a6c7-8e1fad3766ab,ch_9cafaa72-5093-4de5-9342-aeaf87e4f20f,1067-11-01 23:24:24+00:00,Subscription Create,29.0
24255,user_e8dc3f8d-e20e-4586-8fc9-d343f3c10470,ch_fd732ff4-c095-436d-a144-7464da9242a2,1067-11-07 23:33:40+00:00,Subscription Create,29.0
24426,user_c11b98b2-7b7e-452e-8e58-57671b42a813,ch_4bc2e449-148b-4621-96fe-33a3cdee03fa,1067-10-08 20:58:32+00:00,Subscription Create,9.0
24441,user_7db41e18-694b-400a-aa24-8f59fd97345c,ch_9b5bcda1-8945-404b-949b-b48782703660,1067-09-13 10:32:37+00:00,Subscription Update,20.0
24491,user_02a712ed-739a-4eaa-baf0-27046836ed0a,ch_f9d8953e-0fdf-4798-8c30-d887cbdbbf62,1067-09-12 05:30:05+00:00,Subscription Create,35.0
24559,user_f112cca2-2ac3-4db9-8764-5e7492e5f9a2,ch_9d7c942e-46dd-49f2-ae24-48e9fb62804b,1067-09-10 04:50:41+00:00,Upsell,49.0
24575,user_e60806ba-ab9f-4e96-a2aa-31bf6a5909ce,ch_ede64456-1fce-4fc1-8f16-e0b6f0265fa8,1067-09-13 15:23:16+00:00,Subscription Create,89.0
24779,user_5c304738-df5e-473c-9380-541019c62b2b,ch_b6e1107b-4f47-420d-8092-495e8fedcdad,1067-11-06 03:44:07+00:00,Credits package,20.0
24786,user_4cbd647e-7be1-4da3-be17-64dbe8e79d1b,ch_504f8676-ca28-46f9-a97d-79cf005c8a68,1067-09-01 04:10:24+00:00,Subscription Create,35.0
24791,user_e6818613-e08e-451e-abe5-65efc4a16aae,ch_e383e1b8-5b33-4550-9781-2809abcb4ddd,1067-09-19 12:36:37+00:00,Subscription Create,9.0
24838,user_ff56fc4c-eb1b-48f2-a8e8-a9a564c3284a,ch_75946a70-b370-46ee-bcc4-27bc6b8298fe,1067-11-01 23:05:38+00:00,Subscription Create,9.0
24894,user_b721a53e-32d4-4542-8e90-89d90cbfc8b0,ch_52bb3fcc-e9c9-4cd7-beb7-99788604bf1a,1067-09-25 15:01:43+00:00,Subscription Create,35.0
24917,user_8459421a-b554-4704-9f5c-a16b11a4523e,ch_827f1759-bcfa-4693-bbab-114064936ab8,1067-10-16 20:09:25+00:00,Subscription Create,35.0
24990,user_e3e33047-5655-45fc-af90-9b7f3c6f6342,ch_c39520d3-0760-4bdc-9f62-c991026a8461,1067-09-10 20:25:41+00:00,Subscription Create,89.0
25125,user_64988426-93c3-4ce5-8934-733dde163e92,ch_41db858c-36f8-4524-ba52-a4a892037a4d,1067-10-30 02:46:28+00:00,Subscription Create,9.0
25191,user_8b218a29-2c5d-4439-a4b4-029d6b3cd5ae,ch_8cfceaa9-9b96-433b-936f-98e30b46422f,1067-10-17 23:01:14+00:00,Subscription Create,9.0
25273,user_c960f17d-26c5-4f9b-832d-cde0d029a68b,ch_420a2b53-3cf9-41ae-a743-bc7775d191ca,1067-11-01 02:33:24+00:00,Subscription Create,29.0
25364,user_988f77f7-8e21-4691-a764-e556454a3e04,ch_dca781dc-067b-480f-9c4a-5129e28ad609,1067-10-19 14:04:31+00:00,Subscription Create,35.0
25465,user_4a1e4541-890e-4a16-a674-ec69e344cd5a,ch_8ee30166-dac3-4f33-8e06-0bac206c0700,1067-10-06 10:20:56+00:00,Subscription Create,89.0
25575,user_4cf36cb0-c4fc-46cc-ad91-df98346ae6c3,ch_1d822bfe-d8ad-41ba-9267-335b41412221,1067-10-14 19:41:43+00:00,Subscription Create,9.0
25641,user_3b36fb7f-1a7f-496d-8580-9287d47007db,ch_8895b518-db57-423a-ba5b-5dd0b46f83b5,1067-09-20 20:29:31+00:00,Subscription Create,35.0
25719,user_b01ae4f3-d9be-4090-a660-121c89bf3b97,ch_09654f1b-ae95-4d3e-9b23-f92937abd3e2,1067-10-23 03:54:04+00:00,Subscription Create,35.0
25723,user_0a0e45d7-2cd8-40e4-bc9d-0cf36a6a1515,ch_55edd472-f073-4fff-a022-58ff240006c6,1067-10-31 03:40:38+00:00,Subscription Create,35.0
25750,user_994df73c-a806-4a72-8f70-b579179ec0c6,ch_8c72c1da-35e2-4d98-94c9-2e7c78325d29,1067-11-07 01:29:09+00:00,Subscription Create,35.0
25890,user_0ef859d3-83ac-4311-b542-ae012af8330c,ch_7a96331a-99e5-4a93-95e5-a0150b43e96f,1067-09-19 21:07:49+00:00,Subscription Update,54.0
25951,user_cf63ac05-160f-4161-bbf4-f59ddf94dc01,ch_5bafd721-506b-4c94-93f5-41871fefded5,1067-09-14 18:33:39+00:00,Subscription Create,9.0
25976,user_27824cd3-ee69-43ca-96f9-2a5d3e188e2f,ch_9c0c1503-011f-4f6c-90f6-127ce4d10300,1067-10-15 07:48:14+00:00,Subscription Create,9.0
25993,user_6d61a433-3c43-46dd-b738-44e89648047e,ch_97ded970-6763-4ed0-97fc-4f9b7a77ce4a,1067-11-04 12:37:21+00:00,Subscription Create,9.0
26029,user_c9dd3767-f338-461c-bb23-18c3df5cf40c,ch_4fc633b9-661b-49d4-8e7a-6dffc214bbfe,1067-10-31 09:01:17+00:00,Subscription Create,29.0
26031,user_5a76ffed-e644-47c2-b0dc-f522704a0b0e,ch_53c56349-5159-42a7-85d2-d2708bb105cd,1067-10-28 23:08:42+00:00,Subscription Create,29.0
26115,user_be1d43e4-b5a5-4141-bfff-4a82709dc2b3,ch_96569635-a65e-4804-bf71-3f5b3700ecd5,1067-11-03 11:28:03+00:00,Subscription Create,35.0
26231,user_5aa25c9f-e020-4563-9e9f-a3c63151a9e1,ch_4239192e-d8d6-4bf5-9469-f961ab057b37,1067-09-29 12:29:14+00:00,Subscription Create,35.0
26271,user_caec5aac-d4ad-4b7f-b305-8ac20aa48c18,ch_b16f919f-2261-4ab4-ab95-6aa5b47f60ef,1067-08-27 23:19:45+00:00,Subscription Update,20.0
26309,user_65c27613-e0f0-433a-b7ed-4a261843503b,ch_14890ab2-e473-4ff4-b51d-5170b03d4f87,1067-09-26 17:21:18+00:00,Subscription Create,9.0
26314,user_ce780071-3edc-459b-b9d0-b11839f66372,ch_0ede6b0e-27ea-4fe5-93f4-37beaa2f7b43,1067-09-27 19:55:29+00:00,Subscription Create,9.0
26397,user_c0fc4e24-873e-4eef-86ab-76a86e14fedb,ch_ca70e903-9140-45cd-859f-c346ca135f49,1067-09-10 22:36:13+00:00,Subscription Create,35.0
26426,user_e693fc96-e840-4058-a192-d5a4b2d8cea7,ch_d8c2dc95-1a1a-4f7a-abca-ae42299039f8,1067-09-30 21:47:42+00:00,Subscription Create,35.0
26501,user_a2379700-0d26-4e13-80cb-93d0ac4857a7,ch_75587655-aed8-4f2b-bdd5-b57804655754,1067-10-21 15:04:12+00:00,Subscription Create,9.0
26699,user_159e8c51-77a5-4367-a7d9-f5598c32e323,ch_55f25b08-a1d2-4071-a4ab-d9fea0a251ee,1067-10-16 06:05:28+00:00,Subscription Create,35.0
26738,user_b877de52-6826-473a-a20f-5b6afe254756,ch_bee09504-3df9-4be5-b27a-ca31cd9a533d,1067-09-20 13:23:47+00:00,Subscription Create,35.0
26762,user_2293b38d-d6b2-470d-ab0e-b75982736c52,ch_59ad582b-aa57-45ce-8e72-c53d2b19dd1e,1067-10-17 18:45:49+00:00,Subscription Update,29.0
26774,user_ebbc8013-b56f-4c2d-bba8-24e5c8664c3e,ch_0cff98c1-88af-49a6-86cb-feb6739abf91,1067-10-20 00:46:36+00:00,Subscription Create,9.0
26778,user_4026fd6f-6907-4edd-9dbc-339f6f65bb57,ch_41f6d81d-e8d9-4971-b91a-39bfabb43621,1067-09-14 15:14:17+00:00,Subscription Create,35.0
27047,user_a852b535-2a59-4e41-b184-a5eb850da8f6,ch_eecdf308-fab2-43e3-b8de-05f57bd4d5a2,1067-09-12 08:59:54+00:00,Subscription Update,14.2
27180,user_11ef313d-718d-4561-888a-4a7767c36b79,ch_37207ade-032a-44fc-91bb-64cf41554be3,1067-09-12 21:54:11+00:00,Upsell,29.0
27190,user_67508894-f3a1-439a-b30c-72d9697515e0,ch_e3ee81f5-7b75-4cc9-aa5d-9414f053a3f9,1067-10-23 13:43:26+00:00,Subscription Create,29.0
27251,user_15064697-e807-45e5-a4fd-5891fa0b168d,ch_cb3a517f-0fd4-41a7-9c6e-e58104ed4db3,1067-10-09 12:52:07+00:00,Subscription Create,35.0
27255,user_b16fca27-f25a-4f33-b67b-51dfd4c6c89f,ch_e5690e10-1582-4310-9e0a-9e204a41a636,1067-10-17 02:55:18+00:00,Subscription Create,35.0
27269,user_90d85090-9ae5-48a5-880a-8a232a5deb00,ch_8e6515ba-879f-4b41-badc-ef2f185fbc28,1067-10-15 11:41:56+00:00,Subscription Create,35.0
27394,user_7580623c-bf59-4a2d-b27d-b19d6df7e91c,ch_afa185fc-c214-404a-bfcf-3e9517dc1c2b,1067-11-02 14:39:37+00:00,Subscription Create,89.0
27404,user_6bc7a1e2-b728-44b3-962a-8a56d899f8e0,ch_75a82a8e-f76b-43bc-ab0e-d472ec175b58,1067-09-14 19:12:26+00:00,Subscription Create,9.0
27405,user_caec5aac-d4ad-4b7f-b305-8ac20aa48c18,ch_0420f481-6a50-4c89-9b65-ccdce79de843,1067-08-27 22:47:47+00:00,Subscription Create,9.0
27482,user_add00f94-552b-4112-b069-fa4b38e6d7cb,ch_6f0cbaaf-aca1-4f2f-ac6b-024432c5411c,1067-10-18 09:00:13+00:00,Subscription Update,26.0
27548,user_553d7fb9-af9a-4ebc-a9b0-ecaf0ad9056c,ch_f6fe00e8-8f23-4d80-a8cd-c556b2f352b6,1067-09-04 14:52:13+00:00,Subscription Create,29.0
27702,user_05cb7c17-41c0-46aa-8d43-b2952eaa1597,ch_07ea9d2e-8765-4eea-b375-1af9fea066dd,1067-11-07 08:25:31+00:00,Subscription Create,9.0
27754,user_16ae4248-72a8-4240-b7f4-0685765dcb2d,ch_fc77682d-f0d1-48fa-81c7-ad6dcfddb09a,1067-11-04 22:03:43+00:00,Subscription Create,35.0
27778,user_387211a0-19c7-454b-8a09-b7aba0dd4da7,ch_6965ae7c-b4c5-4278-81c1-c6d60e94ce5c,1067-10-23 02:20:24+00:00,Subscription Create,89.0
27878,user_820b9ef6-1197-4cff-96f6-4335b053f4ae,ch_b3ed890d-cdef-4e8d-966a-d3d9d5d46d91,1067-09-27 18:44:19+00:00,Subscription Create,9.0
27981,user_8fea0ef7-6825-4c64-9636-a1b12fd3e5e5,ch_367f81c9-b84b-4470-90d3-e6419d772884,1067-09-27 14:00:19+00:00,Subscription Create,35.0
27999,user_84c8f391-3cc9-4fc1-8451-2b27b4a97810,ch_2523947f-987f-43be-8ac5-74a7722c1d31,1067-10-19 00:39:21+00:00,Subscription Create,35.0
28019,user_6d165ba1-6b07-4986-bdf4-c57f06a25625,ch_7989b070-e4b1-4eec-a4cf-3569b1a76d8b,1067-10-10 12:25:34+00:00,Upsell,39.0
28181,user_de66aedb-3680-4481-a78b-b237701c42ec,ch_eee218ea-ff15-409d-863c-48cc08f6911b,1067-11-05 05:39:34+00:00,Subscription Create,35.0
28242,user_8c5b2399-cdcf-42c4-a9a1-24fe9890ee2d,ch_bb9c4f9a-73e0-4683-bd86-7fb9e78c9d21,1067-10-21 13:29:55+00:00,Subscription Create,9.0
28284,user_de045452-102a-45e8-aa65-1edd0bfbcbd3,ch_47171859-395d-42db-80b5-5af2e68ee743,1067-10-18 16:27:07+00:00,Subscription Create,29.0
28349,user_b14a3e8d-e784-4198-af44-b641e195437d,ch_a040edaf-5cf1-4d4e-b4cd-07ec51c6e18a,1067-10-13 23:43:05+00:00,Subscription Create,35.0
28402,user_b9bac286-5176-4310-aabf-812047b00010,ch_772237f6-8cfa-4bdb-8acf-50fa2b02106d,1067-11-06 10:02:23+00:00,Subscription Create,35.0
28413,user_8674a34c-edae-46f9-946e-09610f4ce08b,ch_bf9ea4f1-ec1a-4079-b49e-44816a0abfa1,1067-10-27 07:07:39+00:00,Subscription Create,39.0
28452,user_d85cbe51-b015-478f-8f55-84ab43285d6c,ch_256e21f5-b94a-4b36-acad-6e53caf9bf9a,1067-11-08 19:33:18+00:00,Subscription Create,89.0
28483,user_b9dd3800-06f2-4a3b-ad29-248fd9139e04,ch_91596430-fcf3-49bd-9b7a-1a0acf75d1e1,1067-09-16 22:55:49+00:00,Subscription Update,26.0
28532,user_0d2ec264-4ba0-47b1-a929-3726b262150a,ch_f49cf792-b6fa-4e6b-8c5f-054dfd305864,1067-10-21 12:34:34+00:00,Credits package,40.0
28574,user_6697bcc1-8a21-446c-b0b6-716213538504,ch_9cf39bb7-881d-42b8-ad1c-16bceed9a9ac,1067-09-11 09:20:04+00:00,Subscription Update,6.0
28597,user_97f57069-b0f7-4bfd-9772-a03667ecd7a2,ch_65571e2d-6908-472f-be0d-c7e0226a6c06,1067-09-27 19:18:09+00:00,Subscription Create,9.0
28620,user_747acce4-cf7f-4837-b0ed-369467660495,ch_4f9e393f-952e-49d6-9cf1-c5efa3e2b816,1067-09-10 12:58:02+00:00,Subscription Update,11.8
28910,user_7f26f39c-1d42-4b6b-a4bb-c4b2fdc1b279,ch_0731fdc7-e66b-4885-b20b-45ac562bb17d,1067-11-04 12:25:08+00:00,Subscription Create,89.0
29036,user_598cbf08-f125-40c5-ac94-e7160ecb9d93,ch_48d21945-f2ce-4939-95d3-6f1915f43c16,1067-09-15 13:27:20+00:00,Subscription Update,26.0
29072,user_37ee0883-22f4-4e41-8441-07170daa0da3,ch_d4ab2beb-c032-4099-9b45-f168be8915ab,1067-09-06 06:28:07+00:00,Subscription Create,35.0
29090,user_bec42b08-c8f7-42af-a21d-063a18d8e978,ch_2a79e330-8f20-4ddb-a86f-409acbdb6be8,1067-09-21 10:47:12+00:00,Subscription Create,35.0
29093,user_c4844e23-6919-4fe4-8c6a-0fb03b24f456,ch_294cd017-a207-4078-9605-b05ee10510b9,1067-09-19 14:20:05+00:00,Subscription Create,35.0
29227,user_2b8e419f-53f4-4f6b-93e2-e4f020d53786,ch_c8a48ab0-6698-41f5-b800-8692827e05e2,1067-10-25 11:07:52+00:00,Subscription Create,35.0
29364,user_33de30db-3ef3-4a9f-ac15-37bcbd9fa63f,ch_300264af-288b-4a36-a07d-1dcd82b7391d,1067-08-27 20:55:49+00:00,Subscription Create,9.0
29438,user_4be3a59a-274d-4e90-ad47-07cdf87b66b4,ch_9670866e-6ff3-49f0-85dc-37fe7717c83a,1067-10-16 23:34:03+00:00,Subscription Create,29.0
29459,user_ea1f9a5f-fed7-4036-bcc0-a7914326a613,ch_368984ae-5217-46c0-a039-a49f2f9b2ac2,1067-09-07 15:43:35+00:00,Subscription Create,35.0
29512,user_ad6114b4-87fb-4af2-8353-3fdde7a114fd,ch_298a0d65-85e4-4080-b1e4-5255d587f914,1067-10-18 07:48:32+00:00,Subscription Create,35.0
29609,user_a504ca46-cefc-47a3-90e7-25697995e4a6,ch_0ae2fd8a-a650-4dfa-9f28-888c64fad3b4,1067-10-30 14:02:10+00:00,Subscription Create,29.0
29708,user_e0b5ae3b-94b9-4e95-a0fb-8c9fbb62719c,ch_38738c32-8bfe-4fa3-a9e0-68543d128ca3,1067-11-13 18:55:07+00:00,Credits package,20.0
29716,user_64c3250a-1fa2-4030-bb23-98cc7a36866f,ch_00278d19-cd2f-47b6-bae8-5e33f42e13b7,1067-10-23 00:33:23+00:00,Subscription Create,35.0
29725,user_f7b08066-5757-453e-b755-e0bd04ba3f71,ch_15bed5ae-4071-434b-9ad0-022666a669be,1067-10-25 05:56:12+00:00,Upsell,39.0
29778,user_ddb15581-a186-4bbe-8318-417c41ebbcb4,ch_88cc6830-1b3c-4384-845b-7f419afc349b,1067-10-11 13:37:41+00:00,Subscription Create,9.0
29781,user_d33204ec-2ddc-4d32-9b8a-2c3028052023,ch_59887708-67f4-4d2a-9a03-eba910de7cda,1067-10-25 12:42:03+00:00,Subscription Create,9.0
29916,user_d7e58c26-0652-4854-b4a1-55f151132a2c,ch_0f020494-19ec-4bc2-82e9-dc94bcae460c,1067-10-31 23:20:38+00:00,Subscription Create,35.0
29937,user_5289b780-506b-47ef-8bf5-ba3523fe4682,ch_dca6e4d4-aac9-4b63-9741-09b3f6994092,1067-10-05 19:17:16+00:00,Subscription Create,39.0
29992,user_1b9c87c9-54f1-4ef7-9a32-8890696960d2,ch_61521101-3c6a-43e3-803b-39dd45b09249,1067-09-18 12:07:29+00:00,Subscription Update,6.0
30108,user_36b62749-8a2a-4f27-a9b6-fb0ef79dd3df,ch_b2a6af35-a1b8-44a6-bf99-95ad130227c0,1067-09-11 07:14:41+00:00,Subscription Update,6.0
30215,user_a3ffba6e-405c-44d2-a8e6-fa94efe9bf83,ch_bef4e375-bd40-45fd-a821-07109112dd36,1067-09-15 11:57:07+00:00,Subscription Create,29.0
30346,user_42463d3c-7abe-45d4-aeaa-cee95e628c4c,ch_f77d6023-7743-4d81-b082-39f8925b614c,1067-11-06 19:06:39+00:00,Subscription Create,39.0
30402,user_4208ba57-2d57-465d-9013-d6283b21be31,ch_3796e8a4-6a23-41b1-8480-8dad1c3446c3,1067-10-17 01:47:34+00:00,Subscription Create,9.0
30453,user_d1f12001-a3b0-4add-9968-5d9c816d6ff2,ch_20a5c7ef-292b-465e-bf05-14796d457f98,1067-11-08 03:08:05+00:00,Subscription Create,89.0
30505,user_79512066-7693-4e11-8f31-a7e92613dd29,ch_d26be91d-2eb1-4f12-b9e2-3d5adf3a8959,1067-08-26 10:21:12+00:00,Subscription Create,9.0
30644,user_4f286bc5-c45e-45a3-b0f7-edae5229ddf2,ch_224aac72-82ee-4d19-a8bf-da900b2ce0b9,1067-10-10 08:54:45+00:00,Subscription Create,35.0
30674,user_11915726-f1e3-4375-9d34-cd5e5827b157,ch_c29fd6fc-9210-4071-8680-ea5a30990d58,1067-09-16 23:53:41+00:00,Subscription Create,89.0
30714,user_29546d5c-d6db-4241-a64e-1204dd3aca30,ch_79a44b28-8dec-4d7f-8228-9bbfcecf6f8b,1067-11-07 14:40:29+00:00,Subscription Create,9.0
30718,user_7f3c096f-66c9-47fa-aec3-d7b833517398,ch_6037efe6-49f0-4c5a-b9f5-5897c973e9d3,1067-11-05 16:12:36+00:00,Subscription Create,9.0
30807,user_d12dc409-3b32-4b63-b53b-a54034820451,ch_cc1818e0-4231-471d-8ae6-044a1c6220cb,1067-10-25 22:40:56+00:00,Subscription Update,20.0
30860,user_772a624d-077f-4559-b4cd-ff52368bde9c,ch_d29c10b7-35e5-42b7-bb97-e37d12cb8f11,1067-09-05 05:40:15+00:00,Subscription Create,9.0
30948,user_e332e413-b1c8-4d1e-8f02-5aaf4d99454e,ch_5359df8a-fc38-43a3-8877-5f73c28b11c3,1067-09-02 17:05:52+00:00,Subscription Create,35.0
30958,user_524beadc-1618-46fc-ba25-84ce2a1ec8d7,ch_62eeec17-bb97-4195-811c-6ca4f038d39e,1067-09-06 04:45:42+00:00,Subscription Create,35.0
30959,user_ee24075c-682b-4922-b7b6-a36461b25bb0,ch_3b69074c-5172-490d-91fc-91f118153c26,1067-08-27 21:42:24+00:00,Subscription Create,35.0
31064,user_52eeb8b4-05ae-4559-b111-3148d8ec1f69,ch_56ade74f-8cee-4ac1-8cd6-ef4585138748,1067-10-31 15:02:52+00:00,Subscription Create,9.0
31089,user_cb75b670-6d7c-4f27-b1d2-5166fe3c8dee,ch_ea4fb288-cb6a-4161-952b-54f9bb79e271,1067-11-06 01:44:16+00:00,Subscription Create,9.0
31112,user_aaaa3d5b-8843-4a2a-bf08-ee5132592ac0,ch_f758f2b8-75e6-42ac-a2f9-195ac37f19c6,1067-10-28 16:12:55+00:00,Subscription Create,35.0
31167,user_e189b4ca-c963-4c14-b58a-8263ea6f6b6f,ch_c23e6573-3ad3-4dfc-b60b-f7f91055c8cb,1067-10-22 14:50:43+00:00,Subscription Create,89.0
31184,user_1bf4ecd3-d8f5-4074-b07b-3140b0522a34,ch_167afacf-bbca-4fad-9c1d-e6eb7e35dc50,1067-11-05 19:54:54+00:00,Credits package,8.5
31257,user_e8884cd4-ce74-4e37-9d48-f8c6938e3629,ch_86aa21d0-3bf3-447d-b6f9-b61f80066c5c,1067-09-11 04:03:46+00:00,Subscription Create,9.0
31294,user_aa4b02f7-968f-4bd3-bf36-091b1792107d,ch_44deb4b4-ca45-4938-b3b0-656e9110b9cb,1067-10-28 08:50:47+00:00,Subscription Create,9.0
31312,user_c545872c-8389-4b74-8b26-811888492d28,ch_8933e22e-8f6e-4f48-a23a-2c71339d21b5,1067-11-07 12:06:06+00:00,Subscription Create,9.0
31363,user_f6e1601c-e95d-4b0d-8faa-83f096b70b86,ch_b9796b3d-ea75-43f5-9f35-f2115f6ed13b,1067-09-16 04:03:53+00:00,Subscription Create,35.0
31567,user_fa5b3753-f6e1-4ec1-af89-74537a79cbf6,ch_ddd4a08e-adb7-47f0-b004-66d446603227,1067-09-06 22:16:47+00:00,Subscription Create,35.0
31654,user_156f9cf9-b71e-422c-9638-04d62a4ca5b4,ch_7586238d-099d-406f-92bc-dfb728cfe7f4,1067-09-04 14:58:41+00:00,Subscription Create,9.0
31676,user_db55eb62-1c6f-448e-bf4d-20fd88042929,ch_e75489b1-21a8-4a88-86dc-0efa3f47e3eb,1067-10-11 19:52:18+00:00,Subscription Create,9.0
31696,user_4f1a4262-599c-47f4-9781-6144744ce223,ch_e00d6bf3-8659-4b9c-a90f-c70f442c1340,1067-10-18 21:03:53+00:00,Upsell,29.0
31709,user_97f94882-de40-4133-bb9e-b953dbae4b84,ch_9b4e706e-529d-4cb0-9d01-47d848519dfa,1067-09-19 01:58:38+00:00,Subscription Create,35.0
31713,user_f433614f-6200-4294-8440-7710a009b84e,ch_ac613de7-361c-4fc3-befc-0033031c0b28,1067-09-03 05:16:12+00:00,Subscription Create,35.0
31876,user_7e5480a3-b669-4849-a6d6-ed2f99a2f2fa,ch_966d223b-5dd3-410b-bbe0-d3154e7b1fc4,1067-10-23 22:23:44+00:00,Subscription Create,35.0
31889,user_ca808259-a7cd-49df-a48b-3a4c3a944bba,ch_64f79176-3a43-447e-90a4-c4bf78392be4,1067-10-29 05:55:09+00:00,Subscription Create,35.0
31902,user_ff45cbb8-409c-4af6-ab3a-db7db8669eac,ch_65f2b820-8bf6-4410-b343-4798e18c42c3,1067-11-07 05:02:06+00:00,Subscription Create,35.0
31958,user_5c63777f-157a-46bb-9e75-bf562596a011,ch_beac983e-e7e4-4bfe-8b52-3a1bee684b97,1067-11-05 17:31:13+00:00,Subscription Create,9.0
32101,user_4188960c-a270-4b12-96f1-5dfa91ee99ef,ch_bc57362c-6a7d-4a55-aa37-bae7facac79a,1067-09-08 05:16:32+00:00,Subscription Create,35.0
32118,user_fc5b38d6-fbcc-4c72-9843-2d5b4d246a51,ch_e76b1977-6a89-43e1-a055-05e99728cf83,1067-10-01 14:22:08+00:00,Subscription Create,35.0
32162,user_963b005b-15fb-4e76-a7c2-b2a12c755160,ch_41f73378-d1c1-4e88-9df9-095bbd281b0b,1067-10-31 14:15:00+00:00,Subscription Create,35.0
32174,user_bc6c753f-a3b5-4f53-ad5b-53e4ef61573c,ch_b5abf421-d3fd-4bdf-a042-acf39c96c6b3,1067-11-04 22:00:31+00:00,Subscription Create,35.0
32199,user_327b8d0c-62fe-4c2c-9bca-d16c67a52894,ch_388a6ac5-8252-48af-9391-3e11e941ddfa,1067-11-06 11:49:34+00:00,Subscription Create,39.0
32210,user_190977e2-f04f-4f8e-b09c-321f5491763a,ch_4c88a391-691d-4dd1-8659-1f8ba892b239,1067-09-16 05:28:24+00:00,Subscription Create,89.0
32230,user_4201ddd3-09d2-4dd4-b93b-65814d16fef6,ch_c5b41145-81ec-460d-b2e2-11f40c259aee,1067-10-28 14:32:46+00:00,Subscription Create,89.0
32313,user_507815ef-94e4-411d-b455-b52bacfd122e,ch_1970be4a-eaf2-4bef-aca1-ade49ad21fe5,1067-11-07 07:55:17+00:00,Subscription Create,35.0
32315,user_159e8c51-77a5-4367-a7d9-f5598c32e323,ch_fb7fbf1d-0555-45fe-996b-8966e5d8d7a0,1067-10-16 06:09:26+00:00,Upsell,39.0
32348,user_6228f6ba-12da-4197-868f-c06083f3bd3d,ch_2ffc253b-bbb2-46ed-a4e9-8a37fc6abca2,1067-09-15 17:04:33+00:00,Subscription Update,26.0
32385,user_a6425f0e-49fd-4714-90af-1c8f5dae80ac,ch_7036f3de-3558-4c32-8f78-ffb1b7d11b38,1067-09-09 16:46:44+00:00,Subscription Create,9.0
32415,user_df8db0d4-82c2-49c8-9b27-aba480e501ad,ch_465f085f-cb20-413d-b3fd-90458fb95ee4,1067-10-14 10:23:52+00:00,Credits package,10.0
32444,user_5a6768e8-708b-403e-9d24-4646213d8fbe,ch_3764669b-43a6-4157-bb87-35adfdb4c56f,1067-10-02 04:06:22+00:00,Credits package,34.0
32529,user_6697bcc1-8a21-446c-b0b6-716213538504,ch_28e317c3-366b-4732-9f87-ffae68dfd2cd,1067-09-11 09:21:26+00:00,Subscription Update,54.0
32589,user_83018ab5-97bf-4da6-afed-c9526544c601,ch_8724931a-c10c-40c0-bc4e-4595c8043686,1067-11-07 20:22:03+00:00,Subscription Create,9.0
32687,user_efca3f43-d99e-4816-90e1-dc7c525372d0,ch_f4774024-da42-4530-bde7-f3c86555b1f4,1067-11-05 02:06:57+00:00,Subscription Create,89.0
32844,user_d428761d-18e2-492c-a08e-b46e8e20e685,ch_041e21b8-9057-4f71-bc82-c1b7977f57f7,1067-09-09 18:48:36+00:00,Subscription Create,35.0
32886,user_161e46bd-258b-4f99-ba0b-a0e64ef73ff6,ch_95a9d3bf-712d-40ef-8937-cf90595d7a81,1067-10-12 03:41:09+00:00,Subscription Create,35.0
32909,user_58fe3924-621f-469b-a7f7-7c8f2a7993c6,ch_ee584ade-975e-413e-a772-9c8abc56b1bd,1067-10-08 19:53:36+00:00,Subscription Create,39.0
32975,user_35311591-fb50-46a3-8e54-42b8cf174463,ch_fac62f38-c332-4ffd-9f1b-93bbfd9d15c8,1067-11-08 15:34:49+00:00,Credits package,15.0
33034,user_aa3f1730-5227-45cb-9616-0ab90c22ea88,ch_6fc94137-802a-4ac9-b4b4-26a03cee782d,1067-11-07 00:56:02+00:00,Subscription Create,35.0
33167,user_3e7172ff-194c-4593-a2c0-4cca16c586fc,ch_8b00c545-a146-4ec5-b912-a76e54b02e71,1067-09-17 16:23:04+00:00,Subscription Create,35.0
33207,user_2c78109a-585c-4da7-bd4a-549981c913e1,ch_d19ff272-a83e-4aa5-9795-1be555a0c160,1067-10-13 22:47:45+00:00,Subscription Create,35.0
